district,N,P,K,OC,pH,EC,S,Fe,Zn,Cu,B,Mn,temperature,humidity,crop,Soil_Type,Yield_tons_per_hectare
Madurai,22,27,20,28,6.61,37,60,43,35,30,41,39,35,46,Sugarcane,Clay,21.51
Madurai,32,22,32,32,7.47,30,53,43,33,36,28,24,34,61,Maize,Sandy,1.64
Madurai,28,34,21,26,8.5,35,55,24,37,34,33,26,25,46,Maize,Red Soil,1.13
Madurai,39,38,28,23,7.13,22,58,29,41,32,25,44,35,62,Maize,Black Soil,1.81
Madurai,31,39,39,26,7.43,29,50,36,38,43,31,27,34,49,Mango,Alluvial Soil,4.93
Madurai,35,33,40,36,8.32,27,54,37,28,31,32,37,33,48,Mango,Laterite Soil,4.43
Madurai,29,29,33,30,6.51,30,45,26,28,38,42,27,26,62,Rice,Peaty Soil,2.3
Madurai,22,27,34,38,8.24,31,46,37,34,31,31,24,28,76,Sugarcane,Loamy,22.97
Madurai,26,35,23,22,7.68,24,56,36,26,38,40,43,28,62,Groundnut,Clay,0.54
Madurai,27,30,32,30,6.99,23,46,36,29,35,29,44,25,70,Maize,Sandy,1.44
Madurai,40,22,36,26,8.19,40,47,40,35,28,44,37,25,52,Coconut,Red Soil,2.41
Madurai,39,31,34,34,6.79,35,62,27,44,35,32,27,24,53,Coconut,Black Soil,2.65
Madurai,22,35,21,24,7.42,36,55,34,38,26,31,31,28,72,Mango,Alluvial Soil,3.09
Madurai,24,26,33,27,8.16,38,44,31,44,38,44,34,26,69,Maize,Laterite Soil,1.16
Madurai,22,31,26,37,7.25,23,62,28,38,24,39,35,31,71,Millet,Peaty Soil,0.71
Madurai,25,40,27,24,7.82,20,44,34,33,36,31,36,27,52,Groundnut,Loamy,0.58
Madurai,21,29,33,31,6.51,37,53,27,32,25,24,41,32,65,Guava,Clay,4.8
Madurai,29,29,23,27,6.55,29,57,33,24,39,28,44,33,53,Groundnut,Sandy,0.55
Madurai,30,39,38,26,8.28,29,54,26,26,29,34,36,27,70,Guava,Red Soil,5.19
Madurai,39,26,22,26,8.12,35,48,38,37,29,41,28,30,48,Sugarcane,Black Soil,26.33
Madurai,30,36,20,36,7.13,36,59,31,32,35,25,27,29,58,Coconut,Alluvial Soil,2.5
Madurai,23,22,30,30,6.58,39,58,38,24,31,37,24,25,53,Rice,Laterite Soil,1.88
Madurai,26,24,33,37,8.17,39,50,31,39,36,24,25,24,49,Maize,Peaty Soil,1.09
Madurai,33,29,31,22,6.82,40,56,26,24,37,41,42,26,54,Sugarcane,Loamy,32.14
Madurai,32,31,26,24,7.7,27,56,27,30,31,28,30,31,60,Millet,Clay,0.74
Madurai,21,21,22,26,7.9,29,45,24,26,39,29,42,34,68,Sugarcane,Sandy,21.91
Madurai,23,24,37,28,7.49,26,47,35,28,25,37,34,30,48,Millet,Red Soil,0.75
Madurai,31,23,26,36,8.25,20,50,32,29,30,26,34,35,79,Groundnut,Black Soil,0.5
Madurai,21,29,38,33,7.93,35,62,24,38,40,29,31,35,59,Maize,Alluvial Soil,1.29
Madurai,24,27,36,38,8.34,28,64,38,25,24,40,27,24,60,Sugarcane,Laterite Soil,26.63
Madurai,32,22,35,26,7.51,36,51,27,39,25,31,35,28,69,Mango,Peaty Soil,4.31
Madurai,22,26,36,29,8.21,27,62,26,35,44,41,38,29,62,Groundnut,Loamy,0.55
Madurai,30,35,21,32,7.45,23,60,27,28,24,38,26,35,76,Guava,Clay,4.15
Madurai,30,34,38,25,7.6,35,56,32,37,29,26,40,25,68,Mango,Sandy,4.09
Madurai,37,38,39,23,7.85,29,64,37,30,32,32,27,35,72,Mango,Red Soil,4.45
Madurai,26,22,24,22,7.89,29,49,44,39,38,34,37,26,56,Guava,Black Soil,4.16
Madurai,37,33,40,25,7.08,28,53,30,41,41,28,41,28,52,Millet,Alluvial Soil,1.0
Madurai,29,20,38,38,7.72,35,44,25,42,32,33,35,25,71,Mango,Laterite Soil,3.3
Madurai,22,32,33,32,6.55,22,60,34,36,24,42,28,30,80,Groundnut,Peaty Soil,0.5
Madurai,38,36,27,36,8.38,30,47,26,41,31,38,44,27,58,Coconut,Loamy,2.66
Madurai,29,36,38,29,6.93,27,56,44,35,43,26,27,32,60,Maize,Clay,1.94
Madurai,24,35,23,34,6.75,20,46,30,34,32,28,39,25,46,Millet,Sandy,0.64
Madurai,38,22,27,30,8.02,20,46,28,28,43,33,43,26,69,Groundnut,Red Soil,0.5
Madurai,35,28,33,40,8.43,33,56,24,32,43,25,41,26,61,Rice,Black Soil,2.11
Madurai,22,38,22,21,7.88,37,52,38,27,34,36,39,24,72,Groundnut,Alluvial Soil,0.5
Madurai,26,27,35,21,7.15,32,55,24,40,36,44,33,33,66,Millet,Laterite Soil,0.7
Madurai,25,21,34,28,6.95,35,63,41,31,29,30,30,35,59,Rice,Peaty Soil,2.34
Madurai,32,36,31,38,6.76,37,62,35,43,43,32,30,32,74,Mango,Loamy,4.55
Madurai,37,28,30,28,7.0,39,64,43,42,27,33,33,29,71,Rice,Clay,2.4
Madurai,20,28,29,25,6.79,35,64,42,24,44,30,24,29,63,Coconut,Sandy,2.35
Madurai,22,25,32,35,7.51,24,51,39,34,37,33,44,35,64,Coconut,Red Soil,2.26
Madurai,33,31,29,39,7.31,30,49,29,35,39,41,25,30,45,Maize,Black Soil,1.46
Madurai,38,33,22,30,8.2,21,60,35,43,32,37,38,24,48,Maize,Alluvial Soil,1.32
Madurai,20,32,26,20,7.9,40,61,26,44,29,35,28,26,54,Rice,Laterite Soil,1.73
Madurai,20,33,34,37,8.17,25,61,39,30,44,43,24,34,71,Maize,Peaty Soil,1.36
Mayiladuthurai,15,17,16,34,7.16,32,64,89,100,100,98,100,24,50,Millet,Loamy,0.57
Mayiladuthurai,23,33,31,33,8.33,20,68,98,88,93,88,91,32,72,Maize,Clay,1.21
Mayiladuthurai,32,17,18,20,7.34,34,60,87,97,89,91,93,24,51,Maize,Sandy,1.08
Mayiladuthurai,14,14,27,33,8.09,21,62,89,98,85,96,95,32,59,Maize,Red Soil,1.34
Mayiladuthurai,30,34,16,17,6.72,31,57,100,92,97,100,98,30,50,Sugarcane,Black Soil,30.75
Mayiladuthurai,16,28,30,23,6.96,30,66,89,93,89,100,100,27,64,Groundnut,Alluvial Soil,0.51
Mayiladuthurai,31,28,34,19,7.9,23,59,100,90,100,85,90,26,67,Millet,Laterite Soil,0.79
Mayiladuthurai,30,24,24,27,8.48,22,60,92,100,100,90,88,24,77,Rice,Peaty Soil,1.49
Mayiladuthurai,21,32,23,14,6.71,32,66,100,87,87,88,95,24,47,Sugarcane,Loamy,20.63
Mayiladuthurai,21,17,28,23,7.08,23,71,98,94,100,100,88,26,54,Coconut,Clay,2.09
Mayiladuthurai,21,21,18,26,8.46,15,57,93,85,96,93,85,35,47,Guava,Sandy,3.24
Mayiladuthurai,24,18,29,14,7.6,33,56,100,98,100,87,100,30,49,Maize,Red Soil,1.15
Mayiladuthurai,19,14,16,18,7.13,14,68,99,85,90,96,86,35,63,Rice,Black Soil,1.83
Mayiladuthurai,17,25,15,32,7.59,18,63,97,97,89,95,88,27,56,Rice,Alluvial Soil,1.79
Mayiladuthurai,33,16,33,34,7.44,14,56,100,87,92,93,94,35,71,Coconut,Laterite Soil,1.89
Mayiladuthurai,29,27,16,26,7.06,19,59,100,99,92,100,100,25,51,Rice,Peaty Soil,1.74
Mayiladuthurai,33,34,23,28,8.04,29,55,91,89,94,92,90,31,64,Maize,Loamy,1.53
Mayiladuthurai,19,21,26,33,8.46,15,64,94,100,90,100,100,27,71,Coconut,Clay,1.61
Mayiladuthurai,26,27,20,15,7.63,34,59,93,85,94,100,96,25,53,Sugarcane,Sandy,24.44
Mayiladuthurai,30,18,30,16,6.98,18,57,92,97,93,89,92,28,53,Millet,Red Soil,0.69
Mayiladuthurai,33,16,21,31,6.9,31,69,96,92,97,95,98,27,45,Millet,Black Soil,0.6
Mayiladuthurai,19,33,32,21,6.69,27,68,100,90,90,100,90,24,61,Mango,Alluvial Soil,3.88
Mayiladuthurai,14,31,18,17,7.96,20,64,97,91,92,97,100,27,73,Maize,Laterite Soil,1.07
Mayiladuthurai,16,16,26,34,8.5,20,54,97,87,100,93,100,34,67,Rice,Peaty Soil,1.58
Mayiladuthurai,23,21,14,26,6.61,19,67,100,100,100,91,92,28,78,Millet,Loamy,0.55
Mayiladuthurai,20,33,17,26,7.51,28,66,93,85,100,100,100,31,66,Mango,Clay,3.27
Mayiladuthurai,34,16,26,25,8.5,18,62,100,97,98,100,87,35,54,Groundnut,Sandy,0.5
Mayiladuthurai,31,17,27,25,8.41,24,70,96,89,100,100,100,26,64,Guava,Red Soil,3.77
Mayiladuthurai,20,28,25,15,8.3,20,66,100,91,91,100,90,28,48,Guava,Black Soil,4.0
Mayiladuthurai,17,30,17,34,7.13,34,74,93,100,88,92,92,32,49,Sugarcane,Alluvial Soil,26.02
Mayiladuthurai,20,24,30,23,8.02,23,64,94,99,100,100,100,32,66,Millet,Laterite Soil,0.61
Mayiladuthurai,34,14,14,32,7.75,18,70,100,90,94,85,96,30,56,Coconut,Peaty Soil,2.31
Mayiladuthurai,21,15,24,30,7.81,20,55,97,99,88,95,99,30,73,Sugarcane,Loamy,24.06
Mayiladuthurai,19,29,33,25,6.64,29,74,85,98,90,87,90,25,54,Groundnut,Clay,0.56
Mayiladuthurai,34,24,29,31,6.93,25,58,96,87,95,100,100,28,71,Groundnut,Sandy,0.62
Mayiladuthurai,24,28,27,24,7.08,32,73,100,86,85,95,95,29,59,Sugarcane,Red Soil,30.14
Mayiladuthurai,34,28,27,30,7.83,34,69,93,96,88,96,95,30,62,Sugarcane,Black Soil,33.72
Mayiladuthurai,30,16,30,19,7.48,23,62,100,100,85,93,94,27,72,Rice,Alluvial Soil,1.7
Mayiladuthurai,20,23,17,20,7.12,33,73,100,100,86,92,88,28,79,Guava,Laterite Soil,3.61
Mayiladuthurai,22,34,14,22,7.96,31,59,85,100,91,93,100,30,63,Coconut,Peaty Soil,2.34
Mayiladuthurai,23,14,32,15,7.32,29,60,95,100,98,97,92,27,47,Rice,Loamy,1.67
Mayiladuthurai,17,18,24,19,7.87,23,74,95,85,93,96,100,29,70,Maize,Clay,1.1
Mayiladuthurai,30,29,27,34,7.36,26,55,94,100,97,91,99,28,59,Millet,Sandy,0.84
Mayiladuthurai,23,24,29,34,7.74,30,74,98,96,95,86,88,30,51,Guava,Red Soil,4.05
Mayiladuthurai,27,25,17,31,7.67,25,69,93,95,91,87,95,32,56,Groundnut,Black Soil,0.56
Mayiladuthurai,31,33,17,28,7.54,25,66,100,100,100,90,100,30,58,Guava,Alluvial Soil,5.5
Mayiladuthurai,32,34,29,22,8.45,23,69,100,85,100,100,88,33,66,Groundnut,Laterite Soil,0.56
Mayiladuthurai,31,22,28,22,7.8,27,62,89,90,100,100,99,31,70,Rice,Peaty Soil,2.02
Mayiladuthurai,26,28,21,21,7.94,31,60,92,98,95,94,95,32,58,Coconut,Loamy,1.96
Mayiladuthurai,30,31,15,16,8.35,30,60,100,87,90,98,96,28,73,Sugarcane,Clay,20.3
Mayiladuthurai,32,24,20,28,7.25,29,62,100,92,86,85,85,25,68,Sugarcane,Sandy,23.67
Mayiladuthurai,27,15,15,26,7.35,18,73,97,87,90,100,87,32,60,Millet,Red Soil,0.73
Mayiladuthurai,23,20,18,33,6.97,32,70,93,85,99,99,98,29,68,Coconut,Black Soil,2.05
Mayiladuthurai,18,16,30,16,8.46,16,56,100,100,98,98,95,33,65,Mango,Alluvial Soil,3.34
Mayiladuthurai,24,20,29,29,7.27,17,71,88,93,96,96,100,34,68,Millet,Laterite Soil,0.58
Mayiladuthurai,17,14,28,14,8.41,14,54,90,93,86,99,100,24,68,Mango,Peaty Soil,2.8
Mayiladuthurai,16,14,20,25,7.87,28,60,100,100,85,100,96,29,75,Rice,Loamy,1.87
Mayiladuthurai,20,26,27,24,7.37,21,59,100,91,94,98,87,25,80,Guava,Clay,3.71
Mayiladuthurai,24,34,28,32,7.28,19,59,100,97,87,95,95,33,63,Groundnut,Sandy,0.58
Mayiladuthurai,29,33,26,17,8.15,18,59,99,92,100,87,93,30,72,Maize,Red Soil,1.49
Mayiladuthurai,22,19,21,30,7.8,31,68,85,94,100,85,94,24,59,Millet,Black Soil,0.61
Mayiladuthurai,28,22,21,15,7.48,25,62,89,89,100,96,100,27,49,Rice,Alluvial Soil,1.74
Mayiladuthurai,33,32,27,33,7.16,31,71,100,97,91,90,86,25,57,Rice,Laterite Soil,2.18
Mayiladuthurai,29,17,14,19,6.97,21,68,92,91,100,100,97,27,64,Mango,Peaty Soil,3.72
Nagapattinam,24,37,41,31,8.15,40,38,100,98,97,93,100,26,59,Guava,Loamy,5.27
Nagapattinam,27,24,28,32,7.96,33,24,88,100,95,90,96,27,48,Mango,Clay,3.46
Nagapattinam,28,33,35,32,8.42,35,42,100,95,89,97,98,32,66,Mango,Sandy,3.98
Nagapattinam,21,35,28,31,6.51,40,22,100,91,100,90,95,31,51,Millet,Red Soil,0.75
Nagapattinam,27,41,37,36,8.2,37,32,96,97,100,99,100,34,51,Rice,Black Soil,2.51
Nagapattinam,28,32,38,23,7.86,28,39,100,100,100,93,100,27,68,Coconut,Alluvial Soil,2.64
Nagapattinam,40,28,39,36,6.84,28,33,100,90,92,98,87,31,54,Millet,Laterite Soil,0.94
Nagapattinam,37,38,23,27,6.72,26,39,86,98,100,100,94,30,45,Maize,Peaty Soil,1.63
Nagapattinam,25,40,33,29,7.83,38,31,100,100,100,90,100,31,51,Sugarcane,Loamy,33.14
Nagapattinam,41,34,25,31,6.75,21,26,92,93,100,90,100,32,50,Sugarcane,Clay,33.76
Nagapattinam,31,28,37,24,8.49,23,34,92,86,100,100,87,27,57,Mango,Sandy,4.37
Nagapattinam,38,34,24,24,8.09,38,41,99,100,98,100,92,35,75,Millet,Red Soil,0.68
Nagapattinam,24,31,39,32,7.45,36,40,88,100,100,94,92,35,60,Rice,Black Soil,2.29
Nagapattinam,33,21,31,22,7.35,31,27,86,100,99,90,98,31,70,Sugarcane,Alluvial Soil,29.86
Nagapattinam,36,29,29,37,7.51,27,30,100,100,98,88,100,30,71,Groundnut,Laterite Soil,0.62
Nagapattinam,40,26,35,23,7.13,29,31,100,96,92,92,99,27,52,Coconut,Peaty Soil,2.83
Nagapattinam,32,28,26,24,6.64,41,24,90,98,93,97,100,30,56,Groundnut,Loamy,0.59
Nagapattinam,41,24,31,24,7.61,33,32,98,100,97,87,97,33,58,Millet,Clay,0.78
Nagapattinam,31,33,26,23,8.2,26,22,86,88,89,99,86,28,80,Rice,Sandy,1.74
Nagapattinam,35,33,36,40,8.44,29,40,97,87,100,90,88,34,46,Rice,Red Soil,2.11
Nagapattinam,26,41,28,28,8.1,30,34,100,100,86,97,96,27,77,Maize,Black Soil,1.31
Nagapattinam,33,37,35,25,7.12,24,36,100,99,88,86,86,33,74,Sugarcane,Alluvial Soil,30.38
Nagapattinam,36,41,24,25,7.3,37,32,100,96,98,100,96,29,68,Mango,Laterite Soil,4.3
Nagapattinam,22,30,27,38,6.53,31,27,100,100,97,91,99,30,57,Rice,Peaty Soil,2.16
Nagapattinam,22,26,31,33,7.19,41,28,93,90,98,93,100,25,60,Coconut,Loamy,2.41
Nagapattinam,36,32,25,27,8.45,27,36,100,96,89,96,100,24,69,Guava,Clay,4.57
Nagapattinam,40,38,28,22,6.74,29,33,86,100,99,88,100,33,74,Sugarcane,Sandy,33.8
Nagapattinam,23,36,36,25,7.7,24,25,96,98,96,93,100,27,68,Rice,Red Soil,2.19
Nagapattinam,21,30,33,39,6.57,24,34,100,100,93,93,91,24,73,Millet,Black Soil,0.64
Nagapattinam,29,28,24,26,7.4,41,28,100,100,87,88,100,34,80,Groundnut,Alluvial Soil,0.5
Nagapattinam,22,39,38,25,8.47,37,22,91,97,95,86,92,33,52,Mango,Laterite Soil,4.26
Nagapattinam,28,39,38,41,7.32,27,42,100,100,94,93,95,32,63,Coconut,Peaty Soil,3.35
Nagapattinam,41,27,40,35,6.89,36,27,92,100,92,98,90,28,51,Rice,Loamy,2.61
Nagapattinam,40,33,30,24,7.77,26,38,88,97,100,88,90,31,62,Guava,Clay,6.41
Nagapattinam,21,36,32,37,7.34,24,35,100,100,100,100,98,30,71,Rice,Sandy,2.44
Nagapattinam,39,39,37,39,8.48,36,31,100,96,100,99,89,28,70,Sugarcane,Red Soil,36.16
Nagapattinam,28,36,34,28,7.92,24,34,88,86,92,95,89,27,54,Millet,Black Soil,0.81
Nagapattinam,31,39,21,40,7.61,28,41,87,87,97,97,100,28,65,Rice,Alluvial Soil,2.15
Nagapattinam,23,36,40,35,8.07,36,32,91,100,92,100,100,27,77,Millet,Laterite Soil,0.69
Nagapattinam,39,21,41,32,8.27,26,24,86,100,100,99,100,27,76,Guava,Peaty Soil,4.59
Nagapattinam,37,27,37,26,7.81,26,41,100,97,96,93,91,27,77,Guava,Loamy,4.67
Nagapattinam,28,27,31,41,8.44,35,30,89,91,100,93,88,24,45,Guava,Clay,3.61
Nagapattinam,22,33,25,24,6.76,29,22,87,100,96,97,91,32,60,Coconut,Sandy,2.72
Nagapattinam,41,25,26,36,7.69,40,23,89,99,90,98,93,29,57,Maize,Red Soil,1.57
Nagapattinam,23,39,31,22,6.87,21,24,91,99,87,100,100,32,52,Maize,Black Soil,1.6
Nagapattinam,22,28,35,31,8.45,40,34,87,87,100,88,95,35,56,Groundnut,Alluvial Soil,0.51
Nagapattinam,34,39,28,39,6.73,23,38,100,100,100,89,91,34,66,Rice,Laterite Soil,2.36
Nagapattinam,31,37,34,40,7.09,25,26,91,100,91,100,91,35,76,Rice,Peaty Soil,2.3
Nagapattinam,36,23,37,40,6.53,27,26,100,93,100,93,87,29,76,Maize,Loamy,1.52
Nagapattinam,31,39,22,25,7.95,21,37,100,93,100,86,99,33,78,Groundnut,Clay,0.53
Nagapattinam,37,30,38,21,8.24,22,40,93,93,100,98,100,32,64,Groundnut,Sandy,0.66
Nagapattinam,37,40,24,41,6.93,32,31,100,100,96,92,92,24,77,Rice,Red Soil,2.23
Nagapattinam,27,28,38,31,7.87,30,27,100,100,100,86,87,34,73,Maize,Black Soil,1.39
Nagapattinam,28,22,38,38,8.03,30,39,100,97,91,100,100,34,45,Maize,Alluvial Soil,1.36
Nagapattinam,22,22,38,38,7.39,37,38,87,86,99,100,90,32,76,Maize,Laterite Soil,1.23
Nagapattinam,32,24,33,32,7.95,39,39,100,100,97,100,87,24,49,Sugarcane,Peaty Soil,23.43
Nagapattinam,26,27,40,24,7.81,24,42,86,90,98,95,87,26,78,Groundnut,Loamy,0.52
Nagapattinam,25,27,29,41,6.61,39,42,97,86,100,100,100,30,69,Coconut,Clay,2.14
Nagapattinam,34,40,34,35,7.64,34,36,99,90,93,91,91,35,80,Guava,Sandy,4.99
Nagapattinam,35,22,22,27,7.43,38,40,100,100,93,96,95,29,57,Millet,Red Soil,0.7
Nagapattinam,30,26,29,37,8.42,40,24,100,100,90,88,100,33,70,Mango,Black Soil,2.99
Nagapattinam,38,39,29,31,8.3,36,31,95,100,94,100,89,26,46,Groundnut,Alluvial Soil,0.62
Nagapattinam,36,22,37,24,7.16,27,40,90,100,94,100,100,34,46,Sugarcane,Laterite Soil,31.03
Nagapattinam,31,38,24,30,8.28,31,38,98,99,100,97,97,34,79,Guava,Peaty Soil,3.84
Namakkal,23,23,25,14,6.91,22,47,32,39,46,37,49,26,48,Mango,Loamy,3.11
Namakkal,23,8,21,5,7.01,14,50,46,45,51,43,33,26,74,Coconut,Clay,1.84
Namakkal,24,7,14,21,7.62,14,43,43,32,37,52,41,26,63,Millet,Sandy,0.64
Namakkal,18,16,10,10,7.18,21,38,46,38,38,44,35,31,50,Groundnut,Red Soil,0.52
Namakkal,21,9,5,10,8.35,11,49,44,52,32,52,52,28,71,Mango,Black Soil,2.71
Namakkal,11,7,22,21,8.04,7,38,52,33,33,35,35,27,67,Maize,Alluvial Soil,1.22
Namakkal,15,15,19,6,8.45,25,39,48,38,40,40,47,29,55,Rice,Laterite Soil,1.63
Namakkal,6,8,7,11,7.13,15,37,47,51,33,42,33,33,51,Maize,Peaty Soil,1.36
Namakkal,22,13,20,10,6.82,14,40,49,47,45,43,39,31,75,Coconut,Loamy,1.86
Namakkal,7,12,13,23,8.44,12,39,46,46,33,34,37,28,52,Groundnut,Clay,0.5
Namakkal,5,23,6,16,8.16,11,48,48,45,52,39,35,27,72,Mango,Sandy,2.77
Namakkal,6,21,14,22,7.74,19,47,47,38,51,45,51,29,45,Coconut,Red Soil,1.9
Namakkal,10,20,12,9,7.5,17,52,46,52,38,33,51,24,67,Guava,Black Soil,4.22
Namakkal,25,11,16,16,7.33,5,55,42,38,36,45,32,28,56,Maize,Alluvial Soil,1.32
Namakkal,24,8,22,18,6.77,10,56,49,36,45,44,33,24,59,Coconut,Laterite Soil,2.18
Namakkal,6,9,12,7,6.85,21,52,51,38,46,39,48,29,65,Groundnut,Peaty Soil,0.55
Namakkal,20,24,18,20,7.21,20,43,41,38,46,47,45,26,61,Groundnut,Loamy,0.56
Namakkal,15,19,8,11,6.54,19,52,48,46,45,52,36,30,54,Coconut,Clay,2.04
Namakkal,5,5,6,8,7.55,6,39,35,44,40,37,43,30,80,Groundnut,Sandy,0.5
Namakkal,6,24,12,18,8.02,17,54,33,37,33,45,39,30,70,Groundnut,Red Soil,0.52
Namakkal,16,25,17,22,8.37,24,38,33,40,47,46,43,26,60,Rice,Black Soil,1.91
Namakkal,16,11,23,21,7.33,14,41,44,50,39,32,52,29,62,Rice,Alluvial Soil,2.12
Namakkal,24,17,24,16,8.13,9,41,32,49,49,36,42,24,56,Mango,Laterite Soil,3.26
Namakkal,10,16,6,8,7.0,15,51,48,34,51,44,49,30,80,Guava,Peaty Soil,4.36
Namakkal,14,7,6,15,6.88,25,36,32,48,46,47,42,26,80,Coconut,Loamy,1.79
Namakkal,23,12,24,22,7.58,8,46,41,41,33,37,37,30,80,Groundnut,Clay,0.5
Namakkal,11,13,6,5,8.23,8,49,42,46,41,32,34,24,47,Sugarcane,Sandy,21.96
Namakkal,16,15,12,6,8.35,12,44,48,44,33,42,42,32,75,Maize,Red Soil,1.05
Namakkal,19,14,16,17,7.36,19,37,41,49,45,52,39,35,75,Guava,Black Soil,3.74
Namakkal,8,12,8,19,7.6,5,51,41,50,39,39,35,25,66,Coconut,Alluvial Soil,2.18
Namakkal,7,13,24,20,6.93,5,37,43,38,35,42,35,27,66,Millet,Laterite Soil,0.68
Namakkal,23,12,17,24,7.37,24,56,33,45,35,52,38,31,52,Coconut,Peaty Soil,2.22
Namakkal,21,21,23,22,8.43,15,51,48,39,41,49,37,34,71,Millet,Loamy,0.55
Namakkal,21,14,19,11,8.05,22,52,42,51,48,38,52,33,75,Rice,Clay,1.73
Namakkal,13,10,16,23,7.06,22,39,36,39,48,33,46,29,73,Millet,Sandy,0.7
Namakkal,8,5,20,23,7.19,15,38,36,52,42,52,48,24,62,Coconut,Red Soil,2.04
Namakkal,11,14,19,15,6.79,6,51,40,42,47,49,44,35,69,Groundnut,Black Soil,0.5
Namakkal,7,16,24,9,7.25,25,48,36,37,39,34,36,28,55,Guava,Alluvial Soil,4.39
Namakkal,13,21,24,22,7.23,12,52,46,51,48,35,32,27,58,Millet,Laterite Soil,0.7
Namakkal,25,16,8,18,7.56,18,56,49,35,51,42,48,30,68,Maize,Peaty Soil,1.23
Namakkal,25,17,9,13,8.41,10,46,50,33,44,34,47,27,50,Maize,Loamy,1.0
Namakkal,20,6,16,6,6.56,21,48,50,40,32,51,41,25,56,Groundnut,Clay,0.53
Namakkal,13,13,25,10,8.2,8,49,50,42,48,46,34,28,57,Rice,Sandy,1.94
Namakkal,14,21,8,12,7.34,7,53,34,47,48,35,39,34,61,Coconut,Red Soil,2.09
Namakkal,14,24,25,8,7.32,24,52,50,36,34,44,43,26,49,Millet,Black Soil,0.56
Namakkal,14,6,10,16,7.35,23,47,38,44,37,34,47,24,50,Rice,Alluvial Soil,1.73
Namakkal,16,18,14,23,8.16,24,45,45,50,35,35,38,26,50,Maize,Laterite Soil,1.17
Namakkal,20,20,20,16,6.99,11,38,48,44,41,44,46,32,75,Coconut,Peaty Soil,1.84
Namakkal,10,24,18,12,7.35,16,53,35,38,51,40,37,33,79,Maize,Loamy,1.18
Namakkal,13,24,22,20,7.21,17,46,52,39,50,41,40,30,56,Sugarcane,Clay,25.58
Namakkal,8,6,21,5,6.96,20,56,33,34,52,49,37,26,62,Rice,Sandy,2.04
Namakkal,13,11,15,8,6.84,25,43,36,43,33,41,34,29,62,Millet,Red Soil,0.71
Namakkal,13,10,20,11,7.94,21,50,37,36,50,36,35,32,64,Sugarcane,Black Soil,23.5
Namakkal,18,22,16,7,7.98,12,36,51,42,49,34,41,34,57,Maize,Alluvial Soil,1.23
Namakkal,15,8,5,7,8.2,11,42,39,35,49,44,37,25,73,Guava,Laterite Soil,3.11
Namakkal,21,6,22,12,6.65,21,50,52,39,50,45,38,26,51,Rice,Peaty Soil,1.72
Namakkal,16,8,7,11,6.93,6,36,32,39,34,44,37,30,77,Maize,Loamy,1.36
Namakkal,24,16,14,25,7.5,8,43,51,48,38,52,46,27,49,Maize,Clay,1.31
Namakkal,14,12,10,6,8.01,5,39,36,46,46,38,47,26,63,Maize,Sandy,1.12
Namakkal,14,9,16,19,7.56,14,43,51,44,37,48,45,28,64,Coconut,Red Soil,2.07
Namakkal,8,7,21,12,8.23,7,44,42,41,32,48,46,34,46,Guava,Black Soil,3.29
Namakkal,15,25,15,22,6.78,22,56,39,46,32,48,45,31,71,Mango,Alluvial Soil,3.57
Namakkal,10,16,23,6,6.79,14,54,35,41,37,46,32,33,70,Coconut,Laterite Soil,2.17
Namakkal,14,8,6,25,8.25,11,37,51,35,47,41,40,29,51,Coconut,Peaty Soil,2.09
Perambalur,16,6,9,14,6.96,5,54,78,76,77,64,73,33,52,Guava,Loamy,4.6
Perambalur,19,18,10,13,7.04,14,45,68,79,75,70,81,35,65,Maize,Clay,1.36
Perambalur,19,19,10,6,7.01,9,55,78,73,64,83,84,28,59,Groundnut,Sandy,0.57
Perambalur,6,13,18,11,8.27,0,54,65,75,84,80,78,29,51,Rice,Red Soil,1.69
Perambalur,18,11,6,6,8.42,4,57,83,76,83,81,75,28,72,Maize,Black Soil,1.03
Perambalur,19,13,18,1,8.13,8,46,84,71,68,77,72,24,57,Coconut,Alluvial Soil,1.9
Perambalur,1,17,10,19,8.23,4,53,73,66,74,73,83,25,65,Maize,Laterite Soil,1.12
Perambalur,14,2,16,14,6.51,18,41,73,65,73,77,81,26,55,Millet,Peaty Soil,0.65
Perambalur,1,0,17,6,8.05,3,58,69,72,81,83,64,34,76,Rice,Loamy,1.54
Perambalur,17,10,13,15,6.99,7,43,66,73,68,81,70,33,80,Mango,Clay,3.22
Perambalur,5,17,10,19,6.54,0,58,70,68,65,82,80,30,68,Mango,Sandy,3.37
Perambalur,9,14,15,2,6.59,18,57,82,77,76,81,74,33,69,Guava,Red Soil,4.34
Perambalur,19,9,12,13,8.02,19,47,82,83,75,67,84,33,80,Guava,Black Soil,3.71
Perambalur,7,19,14,0,7.21,14,55,79,73,68,80,70,24,63,Groundnut,Alluvial Soil,0.52
Perambalur,13,3,18,0,7.21,11,44,77,76,71,71,79,27,67,Rice,Laterite Soil,1.97
Perambalur,7,16,0,11,7.17,2,47,71,82,79,70,76,25,49,Coconut,Peaty Soil,2.05
Perambalur,18,16,5,4,6.84,13,51,69,79,72,77,65,34,55,Groundnut,Loamy,0.5
Perambalur,10,15,18,6,6.94,19,50,74,74,67,72,79,28,80,Mango,Clay,3.09
Perambalur,19,14,14,8,7.06,10,51,76,71,78,74,72,32,79,Sugarcane,Sandy,22.36
